ลำดับ,รายการ,หมายเลขครุภัณฑ์,หมายเลขสินทรัพย์ตามระบบ GFMIS,วันที่ได้มา,จำนวน,สภาพครุภัณฑ์,หมายเหตุ,ประเภท,สถาน
74,ตู้เหล็กเก็บเอกสาร,7110-013-1-608,-,ม.ค.-32,1,ใช้ได้,ห้องพี่อุ๊,ตู้,-
75,ตู้เหล็กเก็บเอกสาร,7110-013-1-609,-,ม.ค.-32,1,ใช้ได้,ห้องเก็บของพี่ย๊ะ,ตู้,ห้องเก็บของพี่ย๊ะ
76,ตู้เหล็กเก็บเอกสาร,7110-013-1-610,-,ม.ค.-32,1,ใช้ได้,ห้องเก็บวัสดุสำนักงาน,ตู้,-
77,ตู้เหล็กเก็บเอกสาร,7110-013-1-611,-,ม.ค.-32,1,ใช้ได้,ห้องเก็บของพี่ย๊ะ,ตู้,ห้องเก็บของพี่ย๊ะ
78,ตู้เหล็กเก็บเอกสาร,7110-013-1-612,-,ม.ค.-32,1,ใช้ได้,หลังพี่แอ้,ตู้,-
79,ตู้เหล็กเก็บเอกสาร,7110-013-1-613,-,ม.ค.-32,1,ใช้ได้,หลังพี่นิวัฒน์,ตู้,-
80,ตู้เหล็กเก็บเอกสาร,7110-013-1-615,-,ม.ค.-32,1,ใช้ได้,ห้องเก็บของพี่ย๊ะ,ตู้,ห้องเก็บของพี่ย๊ะ
81,ตู้เหล็กเก็บเอกสาร,7110-013-1-617,-,ม.ค.-32,1,ใช้ได้,ห้องเก็บของพี่ย๊ะ,ตู้,ห้องเก็บของพี่ย๊ะ
82,ตู้เหล็กเก็บเอกสาร,7110-013-1-618,-,ม.ค.-32,1,ใช้ได้,หน้าห้องน้ำชาย,ตู้,-
83,ตู้เหล็กเก็บเอกสาร,7110-013-1-619,-,ม.ค.-32,1,ใช้ได้,ข้างหลังพี่พล,ตู้,-
84,ตู้เหล็กเก็บเอกสาร,7110-013-1-620,-,ม.ค.-32,1,ใช้ได้,หน้าห้องเก็บของมารีย๊ะด้านใน,ตู้,-
85,ตู้เหล็กเก็บเอกสาร,7110-013-1-621,-,ม.ค.-32,1,ใช้ได้,ห้องเก็บของพี่ย๊ะ,ตู้,ห้องเก็บของพี่ย๊ะ
86,ตู้เหล็กเก็บเอกสาร,7110-013-1-622,-,ม.ค.-32,1,ใช้ได้,ห้องเก็บของพี่ย๊ะด้านใน,ตู้,ห้องเก็บของพี่ย๊ะ
87,ตู้เหล็กเก็บเอกสาร,7110-013-1-623,-,ม.ค.-32,1,ใช้ได้,ห้องเก็บของพี่ย๊ะด้านใน,ตู้,ห้องเก็บของพี่ย๊ะ
88,ตู้เหล็กเก็บเอกสาร,7110-013-1-625,-,ม.ค.-32,1,ใช้ได้,ห้องเก็บของพี่ย๊ะด้านใน,ตู้,ห้องเก็บของพี่ย๊ะ
89,ตู้เหล็กเก็บเอกสาร,7110-013-1-626,-,ม.ค.-32,1,ใช้ได้,ห้องเก็บของพี่ย๊ะ,ตู้,ห้องเก็บของพี่ย๊ะ
90,ตู้เหล็กเก็บเอกสาร,7110-013-1-3767,-,พ.ค.-47,1,ใช้ได้,ห้องเก็บของพี่ย๊ะ,ตู้,ห้องเก็บของพี่ย๊ะ
91,ตู้เหล็กเก็บเอกสาร,7110-013-1-3768,-,พ.ค.-47,1,ใช้ได้,ห้องเก็บของพี่ย๊ะด้านใน,ตู้,ห้องเก็บของพี่ย๊ะ
92,ตู้เหล็กเก็บเอกสาร,7110-013-1-3769,-,พ.ค.-47,1,ใช้ได้,ห้องเก็บของพี่ย๊ะด้านใน,ตู้,ห้องเก็บของพี่ย๊ะ
93,ตู้เหล็กเก็บเอกสาร,7110-013-1-350,-,ม.ค.-32,1,ใช้ได้,ห้องครัว,ตู้,ห้องครัว
94,ตู้เหล็กเก็บเอกสาร,7110-013-1-360,-,ม.ค.-33,1,ใช้ได้,หลังนิวัฒน์,ตู้,-
95,ตู้เหล็กเก็บเอกสาร,7110-013-1-3771,-,พ.ค.-47,1,ใช้ได้,ห้องเก็บของพี่ย๊ะด้านใน,ตู้,ห้องเก็บของพี่ย๊ะ
96,ตู้เหล็กเก็บเอกสาร แบบ 4 ลิ้นชัก,7110-002-3-123,-,พ.ย.-30,1,ใช้ได้,ห้องจัดเก็บครุภัณฑ์,ตู้,ห้องจัดเก็บครุภัณฑ์
97,ตู้เหล็กเก็บเอกสาร แบบ 4 ลิ้นชัก,7110-002-3-124,-,พ.ย.-30,1,ใช้ได้,ห้องหัวหน้าเชาว์,ตู้,-
98,ตู้เหล็กเก็บเอกสาร แบบ 4 ลิ้นชัก,7110-002-3-127,-,พ.ย.-30,1,ใช้ได้,ห้องหัวหน้าเชา,ตู้,-
99,ตู้เหล็กเก็บเอกสาร แบบ 4 ลิ้นชัก,7110-002-3-128,-,พ.ย.-30,1,ใช้ได้,ห้องพี่อุ๊,ตู้,-
100,ตู้เหล็กเก็บเอกสาร แบบ 4 ลิ้นชัก,7110-002-3-306,-,พ.ค.-33,1,ใช้ได้,ห้องจัดเก็บครุภัณฑ์,ตู้,ห้องจัดเก็บครุภัณฑ์
101,ตู้เหล็กเก็บเอกสาร แบบ 4 ลิ้นชัก,7110-002-3-308,-,พ.ค.-33,1,ใช้ได้,พี่พงศ์,ตู้,-
102,ตู้เหล็กเก็บเอกสาร แบบ 4 ลิ้นชัก,7110-002-3-421,-,พ.ย.-33,1,ใช้ได้,ห้อง ผอ.,ตู้,ห้อง ผอ.ส่วน
103,ตู้เหล็กเก็บเอกสาร แบบ 4 ลิ้นชัก,7110-002-3-423,-,พ.ย.-33,1,ใช้ได้,ประนอม,ตู้,-
104,ตู้เหล็กเก็บเอกสาร แบบ 4 ลิ้นชัก,7110-002-3-424,-,พ.ย.-33,1,ใช้ได้,หน้าลิฟท์,ตู้,-
105,ตู้เหล็กเก็บเอกสาร แบบ 4 ลิ้นชัก,7110-002-3-426,-,พ.ย.-33,1,ใช้ได้,ห้องหัวหน้าอนุมัติ,ตู้,-
106,ตู้เหล็กเก็บเอกสาร แบบ 4 ลิ้นชัก,7110-002-3-427,-,พ.ย.-33,1,ใช้ได้,ห้องเจนพิธีกร,ตู้,-
107,ตู้เหล็กเก็บเอกสาร แบบ 4 ลิ้นชัก,7110-002-3-950,-,พ.ค.-37,1,ใช้ได้,ห้องจัดเก็บครุภัณฑ์,ตู้,ห้องจัดเก็บครุภัณฑ์
108,ตู้เหล็กเก็บเอกสาร แบบ 4 ลิ้นชัก,7110-002-3-951,-,พ.ค.-37,1,ใช้ได้,หัวหน้าโจ,ตู้,-
109,ตู้เหล็กเก็บเอกสาร แบบ 4 ลิ้นชัก,7110-003-8-0726,-,19-ธ.ค.-49,1,ใช้ได้,ห้องพี่อุ๊,ตู้,-
110,ตู้เก็บแผนที่ 5 ลิ้นชัก,7110-002-5-014,-,16-ก.ย.-31,1,ใช้ได้,สทผ.3 ยืมที่ มท 0512.3/257  ลว 12 มิ.ย. 49,ตู้,-
111,ตู้เก็บแผนที่ 5 ลิ้นชัก,7110-002-5-015,-,16-ก.ย.-31,1,ใช้ได้,สทผ.3 ยืมที่ มท 0512.3/257 ลว 12 มิ.ย. 49,ตู้,-
112,ตู้เก็บแผนที่ 5 ลิ้นชัก,7110-002-5-017,-,16-ก.ย.-31,1,ใช้ได้,สทผ.3 ยืมที่ มท 0512.3/257  ลว 12 มิ.ย. 49,ตู้,-
113,ตู้เก็บแผนที่ 5 ลิ้นชัก,7110-002-5-018,-,16-ก.ย.-31,1,ใช้ได้,สทผ.3 ยืมที่ มท 0512.3/257 ลว 12 มิ.ย. 49,ตู้,-
114,ตู้เก็บแผนที่ 5 ลิ้นชัก,7110-002-5-019,-,16-ก.ย.-31,1,ใช้ได้,สทผ.3 ยืมที่ มท 0512.3/257  ลว 12 มิ.ย. 49,ตู้,-
115,ตู้เก็บแผนที่ชนิด 2 บาน แบบแขวน,7110-002-5-052,-,08-ก.พ.-31,1,ใช้ได้,ห้องระวาง,ตู้,-
116,ตู้เก็บแผนที่ชนิด 2 บาน แบบแขวน,7110-002-5-054,-,08-ก.พ.-31,1,ใช้ได้,ห้องระวาง,ตู้,-
117,ตู้เก็บแผนที่ชนิด 2 บาน แบบแขวน,7110-002-5-055,-,08-ก.พ.-31,1,ใช้ได้,ห้องระวาง,ตู้,-
118,ตู้เก็บแผนที่ชนิด 2 บาน แบบแขวน,7110-002-5-056,-,08-ก.พ.-31,1,ใช้ได้,ห้องระวาง,ตู้,-
119,ตู้เก็บแผนที่ชนิด 2 บาน แบบแขวน,ไม่มีหมายเลข,-,-,1,ใช้ได้,ห้องระวาง,ตู้,-
120,ตู้เก็บแผนที่ชนิด 2 บาน แบบแขวน,ไม่มีหมายเลข,-,-,1,ใช้ได้,ห้องระวาง,ตู้,-
121,ตู้เก็บแผนที่ชนิด 2 บาน แบบแขวน,ไม่มีหมายเลข,-,-,1,ใช้ได้,ห้องระวาง,ตู้,-
122,ตู้เก็บแผนที่ชนิด 2 บาน แบบแขวน,ไม่มีหมายเลข,-,-,1,ใช้ได้,ห้องระวาง,ตู้,-
123,เครื่องปรับอากาศ,4120-001-8520,-,มี.ค.-40,1,ใช้ได้,ห้องผอ.,เครื่องปรับอากาศ,ห้อง ผอ.ส่วน
124,เครื่องปรับอากาศ,4120-001-8521,-,มี.ค.-40,1,ใช้ได้,ห้องหัวหน้าอนุมัติ,เครื่องปรับอากาศ,-
125,เครื่องปรับอากาศ,4120-001-8522,-,มี.ค.-40,1,ใช้ได้,ห้องหัวหน้าเชาว์,เครื่องปรับอากาศ,-
126,เครื่องปรับอากาศ,4120-001-8523,-,มี.ค.-40,1,ใช้ได้,ห้องเจนพิธีกร,เครื่องปรับอากาศ,-
127,เครื่องปรับอากาศ,4120-001-8524,-,มี.ค.-40,1,ใช้ได้,หลังนิวัฒน์,เครื่องปรับอากาศ,-
128,เครื่องปรับอากาศ,4120-001-8525,-,มี.ค.-40,1,ใช้ได้,พล,เครื่องปรับอากาศ,-
129,เครื่องปรับอากาศ,4120-001-8526,-,มี.ค.-40,1,ใช้ได้,ห้องประชุม,เครื่องปรับอากาศ,ห้องประชุม
130,เครื่องปรับอากาศ,4120-001-8527,-,มี.ค.-40,1,ใช้ได้,ห้องประชุม,เครื่องปรับอากาศ,ห้องประชุม
131,เครื่องปรับอากาศ,4120-001-8559,-,มี.ค.-40,1,ใช้ได้,แอ้,เครื่องปรับอากาศ,-
132,เครื่องปรับอากาศ,4120-001-8560,-,มี.ค.-40,1,ใช้ได้,ประนอม,เครื่องปรับอากาศ,-
133,เครื่องปรับอากาศ,4120-002-2-2041,-,10-ก.ย.-50,1,ใช้ได้,ห้องปฏิบัติการ 2,เครื่องปรับอากาศ,ห้องปฏิบัติการ 2
134,เครื่องปรับอากาศ,4120-001-2-2044,-,10-ก.ย.-50,1,ใช้ได้,ห้องจัดเก็บครุภัณฑ์,เครื่องปรับอากาศ,ห้องจัดเก็บครุภัณฑ์
135,เครื่องปรับอากาศ,4120-001-0-2961,-,ก.พ.-53,1,ใช้ได้,รับบริจาคจากบริษัทอัลทิเมท โพซิซั่นนิ่ง จำกัด (ห้องปฏิบัติการ 2),เครื่องปรับอากาศ,-
136,เครื่องปรับอากาศ,4120-001-2-1769,-,ส.ค.-53,1,ใช้ได้,พี่อุ๊,เครื่องปรับอากาศ,-
137,เครื่องปรับอากาศ,4120-001-2-1770,-,ส.ค.-53,1,ใช้ได้,พี่หน่อย,เครื่องปรับอากาศ,-
138,เครื่องปรับอากาศ,4120-001-2-1771,-,ส.ค.-๑๙๕๓,1,ใช้ได้,พี่เอกสิทธ์,เครื่องปรับอากาศ,-
139,เครื่องปรับอากาศ,4210-001-2-3377/2554,-,ส.ค.-53,1,ใช้ได้,ห้องปฏิบัติการ 2,เครื่องปรับอากาศ,ห้องปฏิบัติการ 2
140,เครื่องปรับอากาศ,4120-001-2-2045/2550,-,พ.ค.-55,1,ใช้ได้,ห้องปฏิบัติการ 3,เครื่องปรับอากาศ,ห้องปฏิบัติการ 3
141,เครื่องปรับอากาศ,4120-001-2-2049/2550,-,พ.ค.-55,1,ใช้ได้,ห้องปฏิบัติการ 3,เครื่องปรับอากาศ,ห้องปฏิบัติการ 3
142,เครื่องปรับอากาศ,4120-001-2-2042/2550,-,พ.ค.-55,1,ใช้ได้,พี่ย๊ะ,เครื่องปรับอากาศ,-
143,เครื่องปรับอากาศ,4120-001-2-3389/2550,-,พ.ค.-55,1,ใช้ได้,ห้องจัดเก็บครุภัณฑ์,เครื่องปรับอากาศ,ห้องจัดเก็บครุภัณฑ์
144,เครื่องตัดกระดาษ,7490-002-0009,-,ต.ค.-33,1,ใช้ได้,ห้องเก็บวัสดุสำนักงาน,เครื่องตัดกระดาษ,-
145,เทปวัดระยะ,507584,-,มี.ค.-37,1,ใช้ได้,สนง.จ.สระแก้ว ขอยืมตามหนังสือที่  สก 0022.1/5091ลว. 4 เม.ย. 46,เทปวัดระยะ,-
146,เทปวัดระยะ,507551,-,มี.ค.-37,1,ใช้ได้,สนง.จ.สระแก้ว ขอยืมตามหนังสือที่  สก 0022.1/5091ลว. 4 เม.ย. 46,เทปวัดระยะ,-
147,เครื่องโทรศัพท์,5804-001-0497.2543,-,ก.พ.-43,1,ใช้ได้,หลังญาญ่า,เครื่องโทรศัพท์,-
148,เครื่องโทรศัพท์,5804-001-0498,-,ก.พ.-43,1,ใช้ได้,ห้องผอ.,เครื่องโทรศัพท์,ห้อง ผอ.ส่วน
149,เครื่องโทรศัพท์,5804-001-0522,-,ก.พ.-43,1,ใช้ได้,ห้องผอ.,เครื่องโทรศัพท์,ห้อง ผอ.ส่วน
150,พัดลมดูดอากาศ Panasonic,4140-002-0303,-,17-เม.ย.-55,1,ใช้ได้,ห้องประชุม,พัดลม,ห้องประชุม
151,พัดลมเพดาน  แบบโคจร ,ไม่มีหมายเลข,-,พ.ค.-55,27,ใช้ได้,-,พัดลม,อื่นๆ
152,เก้าอี้สำหรับที่ประชุม,7110-007-9-1886,-,27-ก.ย.-49,1,ใช้ได้,หน้าห้องประชุม,เก้าอี้,-
153,โต๊ะคอมพิวเตอร์,7440-013-3086.1,-,27-ก.ย.-49,1,ใช้ได้,พี่หน่อย,โต๊ะ,-
154,โต๊ะคอมพิวเตอร์,7440-013-3066.1,-,27-ก.ย.-49,1,ใช้ได้,ห้องกลาง,โต๊ะ,-
155,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17175,-,27-ก.ย.-49,1,ใช้ได้,ห้องปฏิบัติการ 2 (ดิว),เก้าอี้,ห้องปฏิบัติการ 2
156,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17176,-,27-ก.ย.-49,1,ใช้ได้,สมชาย,เก้าอี้,-
157,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17177,-,27-ก.ย.-49,1,ใช้ได้,สายัณห์,เก้าอี้,-
158,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17178,-,27-ก.ย.-49,1,ใช้ได้,ห้องปฏิบัติการ 2 (น้ำ),เก้าอี้,ห้องปฏิบัติการ 2
159,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17179,-,27-ก.ย.-49,1,ใช้ได้,เอกสิทธิ์,เก้าอี้,-
160,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17180,-,27-ก.ย.-49,1,ใช้ได้,พี่พล,เก้าอี้,-
161,เก้าอี้นวมมีพนัก(ระดับ 3-5),7110-006-17181,-,27-ก.ย.-49,1,ใช้ได้,โบ้,เก้าอี้,-
